family,split_type,split_seed,optimizer_seed,accuracy,balanced_accuracy,f1,roc_auc,cross_entropy,brier_score,ece,fixed_threshold_ba,validation_selected_threshold,validation_selected_test_ba,threshold_shift,recalibrated_ba,mean_score_class_0,mean_score_class_1,score_separation,optimizer_success,scipy_optimizer_success,optimizer_message,termination_reason,n_function_evaluations,maxiter_budget,initial_train_loss,best_train_loss,final_train_loss,validation_loss,loss_improvement,last_10_eval_improvement,evaluation_limit_reached,convergence_plateau_detected,training_time
tfim,iid,89,400,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.477176320923663,0.1468678707497104,0.334957158963055,0.9090909090909092,0.5,0.9090909090909092,0.0,0.8636363636363636,0.36251714840972943,0.6155484668334454,0.253031318423716,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.740537468302052,0.43859980496346795,0.43859980496346795,0.43968484880019526,0.3019376633385841,0.0001695502761820955,True,False,86.40308570000343
tfim,iid,89,500,0.8636363636363636,0.8636363636363636,0.88,1.0,0.4797506464822742,0.14760538555321226,0.3378345354469844,0.8636363636363636,0.5,0.8636363636363636,0.0,0.8636363636363636,0.38169259448589216,0.6312178410213545,0.24952524653546232,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.6766761410900112,0.4410130536773084,0.4410130536773084,0.44149284998408805,0.23566308741270275,0.0015152478806018665,True,False,85.33585329999914
tfim,iid,101,100,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.5328269285388073,0.1721312435981601,0.31154643648543967,0.9090909090909092,0.53,0.9090909090909092,0.030000000000000027,0.6818181818181819,0.40671863430706173,0.5883686207735588,0.18164998646649705,True,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,150,150,0.6554482713715223,0.48448211893829046,0.48467009723863647,0.49653032253187684,0.17077817413288582,2.376273856941058e-05,True,True,42.68974759999401
tfim,iid,101,200,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.524681254210488,0.16889227916532165,0.3093888554748475,0.9090909090909092,0.51,0.9090909090909092,0.010000000000000009,0.6818181818181819,0.38030557123151726,0.5728988396471113,0.19259326841559404,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7886866517588564,0.4750640129203698,0.4750640129203698,0.4889229994132253,0.3136226388384866,0.00350795541961324,True,False,86.77272210000228
tfim,iid,101,300,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.5318427773879774,0.17230555527166064,0.3125981516026273,0.9090909090909092,0.51,0.9090909090909092,0.010000000000000009,0.6818181818181819,0.3864814029297002,0.5706869577611274,0.18420555483142725,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,150,150,0.7102486319792268,0.48167726356675905,0.4817226855327106,0.495836886720785,0.22852594644651625,0.0002527671121440589,True,False,42.20183750000433
tfim,iid,101,400,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.5160678700155612,0.16550861462358915,0.30324986250738123,0.9090909090909092,0.51,0.9090909090909092,0.010000000000000009,0.7272727272727273,0.36751574771201684,0.5723786013494221,0.20486285363740525,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,150,150,0.7408397749591245,0.46276847304913155,0.4628137511023937,0.47823501906628735,0.27802602385673075,0.0003349308544190466,True,False,43.75513769999816
tfim,iid,101,500,0.8636363636363636,0.8636363636363636,0.88,1.0,0.5039187487679769,0.15911519788600365,0.3890468708019512,0.8636363636363636,0.56,0.9090909090909092,0.06000000000000005,0.7727272727272727,0.4168772501885742,0.6387835085846718,0.22190625839609762,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.6764707627269135,0.44465865003167143,0.44465865003167143,0.45735383630976517,0.2318121126952421,0.0012572525593395056,True,False,87.95993029999954
tfim,iid,131,100,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.4449090429182426,0.13267706683939504,0.27959216725259045,0.9090909090909092,0.54,0.9545454545454546,0.040000000000000036,0.8636363636363636,0.32690339335701357,0.6217932769415774,0.2948898835845638,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.657715153742267,0.4665981462201756,0.4669713979605786,0.47670450989744106,0.19074375578168834,0.0009525292344247371,True,False,87.28049640000245
tfim,iid,131,200,0.9545454545454546,0.9545454545454546,0.9565217391304348,1.0,0.46954380814504454,0.14559145089746095,0.3192244726356753,0.9545454545454546,0.51,0.9545454545454546,0.010000000000000009,0.8636363636363636,0.3089526919581153,0.5760721516429363,0.26711945968482104,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,150,150,0.7828182054794766,0.4926075812281101,0.4931218256837523,0.5040009690720447,0.28969637979572427,0.0007482171758280698,True,False,44.288711199995305
tfim,iid,131,300,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.43260216036601773,0.13041078696507127,0.2662969470898449,0.9090909090909092,0.53,0.9545454545454546,0.030000000000000027,0.8636363636363636,0.2884641006598447,0.606372466953203,0.31790836629335834,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7091131469517773,0.4583202157963566,0.4583202157963566,0.46979314370741726,0.2507929311554207,0.0038889662585469,True,False,88.4976600000009
tfim,iid,131,400,0.9545454545454546,0.9545454545454546,0.9565217391304348,1.0,0.42833541151678245,0.12886649550845156,0.29042537601146523,0.9545454545454546,0.52,0.9545454545454546,0.020000000000000018,0.8636363636363636,0.27650274829306815,0.6001472976332364,0.32364454934016823,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7384263029083113,0.45335932214176555,0.45335932214176555,0.46627617504278096,0.2850669807665458,0.0011759952340669177,True,False,86.85362480000185
