family,split_type,bin,accuracy,confidence,count
tfim,parameter_block,8,,0.8500000000000001,0
tfim,parameter_block,9,,0.95,0
tfim,parameter_block,0,,0.05,0
tfim,parameter_block,1,,0.15000000000000002,0
tfim,parameter_block,2,,0.25,0
tfim,parameter_block,3,0.0,0.38101231186624107,13
tfim,parameter_block,4,0.0,0.4553533085770666,13
tfim,parameter_block,5,0.8780487804878049,0.552856779521812,41
tfim,parameter_block,6,,0.6500000000000001,0
tfim,parameter_block,7,,0.75,0
tfim,parameter_block,8,,0.8500000000000001,0
tfim,parameter_block,9,,0.95,0
tfim,parameter_block,0,,0.05,0
tfim,parameter_block,1,,0.15000000000000002,0
tfim,parameter_block,2,,0.25,0
tfim,parameter_block,3,0.0,0.3538734888641703,16
tfim,parameter_block,4,0.0,0.4547262325586497,14
tfim,parameter_block,5,0.972972972972973,0.5387415319149688,37
tfim,parameter_block,6,,0.6500000000000001,0
tfim,parameter_block,7,,0.75,0
tfim,parameter_block,8,,0.8500000000000001,0
tfim,parameter_block,9,,0.95,0
tfim,parameter_block,0,,0.05,0
tfim,parameter_block,1,,0.15000000000000002,0
tfim,parameter_block,2,0.0,0.29074687041233677,4
tfim,parameter_block,3,0.0,0.3418005528353272,18
tfim,parameter_block,4,0.75,0.4702682397033541,36
tfim,parameter_block,5,1.0,0.5009083032911269,9
tfim,parameter_block,6,,0.6500000000000001,0
tfim,parameter_block,7,,0.75,0
tfim,parameter_block,8,,0.8500000000000001,0
tfim,parameter_block,9,,0.95,0
tfim,parameter_block,0,,0.05,0
tfim,parameter_block,1,,0.15000000000000002,0
tfim,parameter_block,2,0.0,0.2990166268933488,1
tfim,parameter_block,3,0.0,0.3449378478720152,18
tfim,parameter_block,4,0.4,0.4623141134436223,20
tfim,parameter_block,5,1.0,0.5172543511739005,28
tfim,parameter_block,6,,0.6500000000000001,0
tfim,parameter_block,7,,0.75,0
tfim,parameter_block,8,,0.8500000000000001,0
tfim,parameter_block,9,,0.95,0
tfim,parameter_block,0,,0.05,0
tfim,parameter_block,1,,0.15000000000000002,0
tfim,parameter_block,2,0.0,0.2967050577115524,1
tfim,parameter_block,3,0.0,0.3418967640530271,17
tfim,parameter_block,4,0.23529411764705882,0.4584971517573096,17
tfim,parameter_block,5,1.0,0.5291235886315693,32
tfim,parameter_block,6,,0.6500000000000001,0
tfim,parameter_block,7,,0.75,0
tfim,parameter_block,8,,0.8500000000000001,0
tfim,parameter_block,9,,0.95,0
tfim,parameter_block,0,,0.05,0
tfim,parameter_block,1,,0.15000000000000002,0
tfim,parameter_block,2,,0.25,0
tfim,parameter_block,3,0.0,0.37740425313328835,11
tfim,parameter_block,4,0.0,0.44013727325902857,9
tfim,parameter_block,5,0.0,0.5501927217192398,10
tfim,parameter_block,6,0.9565217391304348,0.6614234013325933,23
tfim,parameter_block,7,1.0,0.7079954698896158,14
tfim,parameter_block,8,,0.8500000000000001,0
tfim,parameter_block,9,,0.95,0
tfim,critical_holdout,0,,0.05,0
tfim,critical_holdout,1,,0.15000000000000002,0
tfim,critical_holdout,2,,0.25,0
tfim,critical_holdout,3,,0.35000000000000003,0
tfim,critical_holdout,4,0.0,0.474038013343636,7
tfim,critical_holdout,5,0.7,0.5402892644228924,20
tfim,critical_holdout,6,,0.6500000000000001,0
tfim,critical_holdout,7,,0.75,0
