distance,decoder,rho_bin,logical_failure_rate,p50_us,p95_us,p99_us,samples,rho_mid
7.0,mwpm_correlated,"(0.05, 0.075]",0.0024070021881838076,64.0,130.85500000000002,189.02400000000017,4570,0.0625
7.0,mwpm_correlated,"(0.075, 0.1]",0.011159015977681968,77.1,159.43999999999977,227.06999999999988,3943,0.0875
7.0,mwpm_correlated,"(0.1, 0.125]",0.0332215787869552,82.6,175.9,265.03999999999985,3281,0.1125
7.0,mwpm_correlated,"(0.125, 0.15]",0.061971830985915494,90.5,191.915,302.6369999999996,1420,0.1375
7.0,mwpm_correlated,"(0.15, 0.175]",0.09523809523809523,101.3,191.0299999999999,263.5099999999999,399,0.16249999999999998
7.0,mwpm_correlated,"(0.175, 0.2]",0.203125,121.05000000000001,196.5699999999999,219.0119999999999,64,0.1875
7.0,mwpm_correlated,"(0.2, 0.225]",0.5,146.14999999999998,183.23,187.046,4,0.21250000000000002
7.0,mwpm_correlated,"(0.225, 0.25]",0.0,216.0,216.0,216.0,1,0.2375
7.0,union_find,"(-0.001, 0.025]",0.002041858090862685,985.3,1818.3199999999993,2517.6780000000012,1959,0.012
7.0,union_find,"(0.025, 0.05]",0.02374336953776206,1581.9,3496.159999999999,5998.2600000000075,3959,0.037500000000000006
7.0,union_find,"(0.05, 0.075]",0.09868708971553611,2963.2,7237.620000000001,13039.426000000009,4570,0.0625
7.0,union_find,"(0.075, 0.1]",0.22673091554653818,5472.1,12239.45999999999,23609.559999999976,3943,0.0875
7.0,union_find,"(0.1, 0.125]",0.34410240780249923,8751.1,17350.1,25743.05999999997,3281,0.1125
7.0,union_find,"(0.125, 0.15]",0.4140845070422535,12751.900000000001,24032.25,33821.152999999984,1420,0.1375
7.0,union_find,"(0.15, 0.175]",0.47869674185463656,16187.1,32636.54,40066.873999999974,399,0.16249999999999998
7.0,union_find,"(0.175, 0.2]",0.40625,22022.55,38580.385,82192.55299999975,64,0.1875
7.0,union_find,"(0.2, 0.225]",0.75,24132.55,37484.35,38739.67,4,0.21250000000000002
7.0,union_find,"(0.225, 0.25]",0.0,40819.3,40819.3,40819.3,1,0.2375
9.0,bp_osd,"(-0.001, 0.025]",0.0,5410.3,13573.16,15903.083999999997,1273,0.012
9.0,bp_osd,"(0.025, 0.05]",0.0007033997655334115,11310.9,15412.759999999995,20679.663999999997,4265,0.037500000000000006
9.0,bp_osd,"(0.05, 0.075]",0.006156119182467373,13081.0,19000.8,24565.740000000005,4061,0.0625
9.0,bp_osd,"(0.075, 0.1]",0.03160112359550562,13811.95,20439.20499999999,25604.987,4272,0.0875
9.0,bp_osd,"(0.1, 0.125]",0.0941358024691358,14435.45,21534.1,28176.05400000001,3888,0.1125
9.0,bp_osd,"(0.125, 0.15]",0.2023086269744836,15089.05,22293.925000000003,27429.539999999994,1646,0.1375
9.0,bp_osd,"(0.15, 0.175]",0.30158730158730157,16069.3,23013.3,31942.50800000001,189,0.16249999999999998
9.0,bp_osd,"(0.175, 0.2]",0.3333333333333333,16706.0,27741.95,29886.390000000003,6,0.1875
9.0,mwpm,"(-0.001, 0.025]",0.0,42.1,62.41999999999996,91.01599999999995,1273,0.012
9.0,mwpm,"(0.025, 0.05]",0.00023446658851113716,49.3,77.2,115.6319999999996,4265,0.037500000000000006
9.0,mwpm,"(0.05, 0.075]",0.0017237133710908644,62.1,99.5,131.48000000000005,4061,0.0625
9.0,mwpm,"(0.075, 0.1]",0.013342696629213483,80.45,150.65999999999985,228.62199999999993,4272,0.0875
9.0,mwpm,"(0.1, 0.125]",0.041666666666666664,101.9,206.2949999999999,297.81300000000005,3888,0.1125
9.0,mwpm,"(0.125, 0.15]",0.11239368165249089,124.95,264.825,418.89499999999896,1646,0.1375
9.0,mwpm,"(0.15, 0.175]",0.164021164021164,151.2,318.42,403.6360000000002,189,0.16249999999999998
9.0,mwpm,"(0.175, 0.2]",0.16666666666666666,192.75,417.45,467.41,6,0.1875
9.0,mwpm_correlated,"(-0.001, 0.025]",0.0,62.9,113.03999999999998,169.95199999999997,1273,0.012
9.0,mwpm_correlated,"(0.025, 0.05]",0.0,84.9,143.5199999999999,206.01999999999936,4265,0.037500000000000006
9.0,mwpm_correlated,"(0.05, 0.075]",0.0007387343018960847,122.3,205.0,305.00000000000006,4061,0.0625
9.0,mwpm_correlated,"(0.075, 0.1]",0.006320224719101123,174.05,326.4299999999997,448.93199999999996,4272,0.0875
9.0,mwpm_correlated,"(0.1, 0.125]",0.023662551440329218,232.9,410.45499999999976,555.5290000000003,3888,0.1125
9.0,mwpm_correlated,"(0.125, 0.15]",0.056500607533414335,288.05,476.75,618.7299999999997,1646,0.1375
9.0,mwpm_correlated,"(0.15, 0.175]",0.1164021164021164,355.0,605.38,1011.6920000000006,189,0.16249999999999998
9.0,mwpm_correlated,"(0.175, 0.2]",0.0,385.8,622.575,640.6750000000001,6,0.1875
9.0,union_find,"(-0.001, 0.025]",0.0007855459544383347,2653.4,4801.439999999996,9677.755999999948,1273,0.012
9.0,union_find,"(0.025, 0.05]",0.016881594372801876,4237.0,10112.939999999997,19082.139999999934,4265,0.037500000000000006
9.0,union_find,"(0.05, 0.075]",0.14528441270623,10862.0,29894.3,113997.48000000008,4061,0.0625
9.0,union_find,"(0.075, 0.1]",0.31226591760299627,27528.75,59822.369999999995,423293.1059999996,4272,0.0875
9.0,union_find,"(0.1, 0.125]",0.4074074074074074,50137.15,87012.34499999997,723162.7640000011,3888,0.1125
9.0,union_find,"(0.125, 0.15]",0.468408262454435,73955.1,121687.02500000001,983397.5949999995,1646,0.1375
9.0,union_find,"(0.15, 0.175]",0.5079365079365079,99805.3,152802.8,1001603.6320000003,189,0.16249999999999998
9.0,union_find,"(0.175, 0.2]",0.5,135961.75,183521.7,191074.50000000003,6,0.1875
